Name;price;URL;type
Black Butler Norma 04;4.5;https://www.todoconsolas.com/manga/32907-manga_black_butler_norma_04_po28134-9788467908107.html;Manga
Black Butler Norma 05;4.5;https://www.todoconsolas.com/manga/32908-manga_black_butler_norma_05_po28135-9788467908671.html;Manga
Black Butler Norma 06;4.5;https://www.todoconsolas.com/manga/4812-manga_black_butler_norma_06_po28368-9788467909166.html;Manga
Black Butler Norma 07;4.5;https://www.todoconsolas.com/manga/4813-manga_black_butler_norma_07_po28369-9788467909401.html;Manga
Black Butler Norma 08;5.0;https://www.todoconsolas.com/manga/44599-manga_black_butler_norma_08_po28370-9788467910247.html;Manga
Black Butler Norma 09;5.0;https://www.todoconsolas.com/manga/44598-manga_black_butler_norma_09_po28371-9788467910780.html;Manga
Black Butler Norma 10;5.0;https://www.todoconsolas.com/manga/44597-manga_black_butler_norma_10_po28372-9788467911282.html;Manga
Black Butler Norma 11;5.0;https://www.todoconsolas.com/manga/44596-manga_black_butler_norma_11_po28373-9788467912371.html;Manga
Black Clover Norma 01;3.5;https://www.todoconsolas.com/manga/33599-manga_black_clover_norma_01_po59151-9788467926569.html;Manga
Black Clover Norma 02;5.0;https://www.todoconsolas.com/manga/33600-manga_black_clover_norma_02_po59152-9788467926576.html;Manga
